No.,Time,Source,Destination,Protocol,Length,Info,Time,Result
1,2017-03-06 16:04:59.709524,192.168.233.145,192.168.233.114,SMPP,78,"SMPP Submit_sm - resp: ""Ok""",16:04:59,OK
2,2017-03-06 16:04:59.769860,192.168.233.145,192.168.233.114,SMPP,78,"SMPP Submit_sm - resp: ""Ok""",16:04:59,OK
3,2017-03-06 16:04:59.774867,192.168.233.145,192.168.233.114,SMPP,78,"SMPP Submit_sm - resp: ""Ok""",16:04:59,OK
4,2017-03-06 16:04:59.983807,192.168.233.145,192.168.233.114,SMPP,78,"SMPP Submit_sm - resp: ""Ok""",16:04:59,OK
5,2017-03-06 16:04:59.989069,192.168.233.145,192.168.233.114,SMPP,78,"SMPP Submit_sm - resp: ""Ok""",16:04:59,OK
6,2017-03-06 16:04:59.996571,192.168.233.145,192.168.233.114,SMPP,78,"SMPP Submit_sm - resp: ""Ok""",16:04:59,OK
7,2017-03-06 16:05:00.199160,192.168.233.145,192.168.233.114,SMPP,78,"SMPP Submit_sm - resp: ""Ok""",16:05:00,OK
8,2017-03-06 16:05:00.202727,192.168.233.145,192.168.233.114,SMPP,78,"SMPP Submit_sm - resp: ""Ok""",16:05:00,OK
9,2017-03-06 16:05:00.206428,192.168.233.145,192.168.233.114,SMPP,78,"SMPP Submit_sm - resp: ""Ok""",16:05:00,OK
10,2017-03-06 16:05:00.409199,192.168.233.145,192.168.233.114,SMPP,78,"SMPP Submit_sm - resp: ""Ok""",16:05:00,OK
11,2017-03-06 16:05:00.413136,192.168.233.145,192.168.233.114,SMPP,78,"SMPP Submit_sm - resp: ""Ok""",16:05:00,OK
12,2017-03-06 16:05:00.417607,192.168.233.145,192.168.233.114,SMPP,78,"SMPP Submit_sm - resp: ""Ok""",16:05:00,OK
13,2017-03-06 16:05:00.623602,192.168.233.145,192.168.233.114,SMPP,78,"[TCP Previous segment not captured] SMPP Submit_sm - resp: ""Ok""",16:05:00,OK
14,2017-03-06 16:05:00.627553,192.168.233.145,192.168.233.114,SMPP,78,"SMPP Submit_sm - resp: ""Ok""",16:05:00,OK
15,2017-03-06 16:05:00.631350,192.168.233.145,192.168.233.114,SMPP,70,"SMPP Submit_sm - resp: ""Throttling error (ESME exceeded allowed message limits)""",16:05:00,THR
16,2017-03-06 16:05:00.833731,192.168.233.145,192.168.233.114,SMPP,78,"SMPP Submit_sm - resp: ""Ok""",16:05:00,OK
17,2017-03-06 16:05:00.837697,192.168.233.145,192.168.233.114,SMPP,78,"SMPP Submit_sm - resp: ""Ok""",16:05:00,OK
